MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20210706,High Plains,31,13.54,13.06,24.39,12.79,5.22,7/6/2021,7/12/2021,2
20210706,West,5.62,6.04,11.71,23.45,29.83,23.35,7/6/2021,7/12/2021,2
20210629,High Plains,31.79,13.74,13.03,23.04,12.36,6.04,6/29/2021,7/5/2021,2
20210629,West,6.49,5.63,12.37,22.72,29.23,23.56,6/29/2021,7/5/2021,2
20210622,High Plains,29.66,16.43,15.08,20.38,12.36,6.08,6/22/2021,6/28/2021,2
20210622,West,6.73,7.69,14.06,21.81,25.99,23.72,6/22/2021,6/28/2021,2
20210615,High Plains,35.36,13.31,16.23,17.75,11.32,6.04,6/15/2021,6/21/2021,2
20210615,West,7.51,9.39,15.43,18.82,25.09,23.75,6/15/2021,6/21/2021,2
20210608,High Plains,37.52,12.96,15.74,16.62,11.12,6.04,6/8/2021,6/14/2021,2
20210608,West,7.82,9.15,15.39,19.02,24.86,23.75,6/8/2021,6/14/2021,2
20210601,High Plains,39.48,12.53,17.49,11.94,12.75,5.8,6/1/2021,6/7/2021,2
20210601,West,8.69,9.51,16.95,18.33,23.37,23.16,6/1/2021,6/7/2021,2
20210525,High Plains,31.19,21.14,17.74,11.37,12.75,5.8,5/25/2021,5/31/2021,2
20210525,West,7.01,11.16,17.47,17.76,22.82,23.78,5/25/2021,5/31/2021,2
20210518,High Plains,27.91,20.91,19.24,10.69,15.57,5.67,5/18/2021,5/24/2021,2
20210518,West,5.83,11.14,17.82,18.84,24.08,22.3,5/18/2021,5/24/2021,2
20210511,High Plains,19.61,21.16,25.65,11.9,18.32,3.35,5/11/2021,5/17/2021,2
20210511,West,5.13,9.93,18.69,19.38,24.45,22.42,5/11/2021,5/17/2021,2
20210504,High Plains,17.66,22.06,22.66,15.34,18.92,3.35,5/4/2021,5/10/2021,2
20210504,West,4.25,11.57,17.11,20.04,25.85,21.18,5/4/2021,5/10/2021,2
20210427,High Plains,18.35,18.13,22.95,18.44,18.72,3.41,4/27/2021,5/3/2021,2
20210427,West,4.02,12.15,19.12,21.36,22.15,21.2,4/27/2021,5/3/2021,2
20210420,High Plains,19.9,15.52,24.62,18.78,18.19,2.99,4/20/2021,4/26/2021,2
20210420,West,5.03,12.26,19.71,20.56,21.38,21.05,4/20/2021,4/26/2021,2
20210413,High Plains,19.73,15.84,22.6,18.26,20.57,2.99,4/13/2021,4/19/2021,2
20210413,West,8.01,13.78,17.33,19.23,20.6,21.05,4/13/2021,4/19/2021,2
20210406,High Plains,18.72,17.2,22.01,19.97,19.11,2.99,4/6/2021,4/12/2021,2
20210406,West,9.62,14.34,16.54,18.7,20.09,20.71,4/6/2021,4/12/2021,2
20210330,High Plains,18.86,17.33,23.14,22.78,14.9,2.99,3/30/2021,4/5/2021,2
20210330,West,10.1,14.68,16.63,19.2,18.82,20.56,3/30/2021,4/5/2021,2
20210323,High Plains,18.14,17.98,23.11,26.67,11.01,3.09,3/23/2021,3/29/2021,2
20210323,West,11.44,14.06,15.84,19.17,18.88,20.61,3/23/2021,3/29/2021,2
20210316,High Plains,12.36,21.81,22.21,29.59,10.95,3.09,3/16/2021,3/22/2021,2
20210316,West,10.69,14.39,16.28,18.9,19.42,20.32,3/16/2021,3/22/2021,2
20210309,High Plains,4.91,11.13,29.03,36.2,15.48,3.25,3/9/2021,3/15/2021,2
20210309,West,10.91,12.51,15.38,19.79,21.03,20.39,3/9/2021,3/15/2021,2
20210302,High Plains,7.4,10,29.62,34.21,15.52,3.25,3/2/2021,3/8/2021,2
20210302,West,10.91,9.17,19.1,19.02,21.37,20.42,3/2/2021,3/8/2021,2
20210223,High Plains,7.42,10.2,29.33,33.82,15.99,3.25,2/23/2021,3/1/2021,2
20210223,West,7.35,13.72,17.75,19.05,21.69,20.43,2/23/2021,3/1/2021,2
20210216,High Plains,7.42,10.2,34.72,27.59,16.44,3.63,2/16/2021,2/22/2021,2
20210216,West,7.24,13.46,17.3,18.91,23.62,19.47,2/16/2021,2/22/2021,2
20210209,High Plains,6.92,9.54,31.93,26.13,20.41,5.07,2/9/2021,2/15/2021,2
20210209,West,7.05,13.42,16.66,17.86,23.96,21.05,2/9/2021,2/15/2021,2
20210202,High Plains,6.92,9.54,31.71,25.95,20.82,5.07,2/2/2021,2/8/2021,2
20210202,West,6.75,13.52,16,18.53,24.16,21.03,2/2/2021,2/8/2021,2
20210126,High Plains,6.65,7.59,34.02,26.23,20.42,5.09,1/26/2021,2/1/2021,2
20210126,West,8.98,11.46,13.12,19.29,25.61,21.54,1/26/2021,2/1/2021,2
20210119,High Plains,5.26,12.41,32.66,24.06,19.9,5.71,1/19/2021,1/25/2021,2
20210119,West,9.65,12.65,12.97,17.89,24.47,22.38,1/19/2021,1/25/2021,2
20210112,High Plains,5.05,13.23,31.52,24.58,19.91,5.71,1/12/2021,1/18/2021,2
20210112,West,9.74,12.46,12.97,18,24.7,22.14,1/12/2021,1/18/2021,2
20210105,High Plains,4.71,14.21,30.31,24.62,20.43,5.71,1/5/2021,1/11/2021,2
20210105,West,11.89,10.1,13.42,18.08,24.34,22.16,1/5/2021,1/11/2021,2
20201229,High Plains,3.82,13.72,32.1,23.27,21.38,5.71,12/29/2020,1/4/2021,2
20201229,West,11.57,9.8,13.45,18.69,24.32,22.16,12/29/2020,1/4/2021,2
20201222,High Plains,3.82,14.06,31.77,23.27,21.38,5.71,12/22/2020,12/28/2020,2
20201222,West,11.57,10.1,13.15,18.56,24.46,22.16,12/22/2020,12/28/2020,2
20201215,High Plains,3.82,14.06,31.77,23.27,21.38,5.71,12/15/2020,12/21/2020,2
20201215,West,11.5,10.12,13.16,18.58,24.47,22.16,12/15/2020,12/21/2020,2
20201208,High Plains,3.14,14.63,31.47,23.67,21.38,5.71,12/8/2020,12/14/2020,2
20201208,West,11.35,10.13,14.2,19.55,22.59,22.18,12/8/2020,12/14/2020,2
20201201,High Plains,3.19,16.1,30.92,23,21.25,5.53,12/1/2020,12/7/2020,2
20201201,West,12.01,12.44,14.66,16.22,22.56,22.1,12/1/2020,12/7/2020,2
20201124,High Plains,4.05,19.74,26.54,23.93,20.11,5.63,11/24/2020,11/30/2020,2
20201124,West,11.06,13.33,14.76,16.76,24.6,19.48,11/24/2020,11/30/2020,2
20201117,High Plains,3.98,21.27,27.29,24.87,16.95,5.63,11/17/2020,11/23/2020,2
20201117,West,12.57,11.57,16.3,17.89,29.38,12.3,11/17/2020,11/23/2020,2
20201110,High Plains,4.48,23.01,25.68,24.36,17.36,5.11,11/10/2020,11/16/2020,2
20201110,West,9.67,13.44,17.02,17.93,33.57,8.37,11/10/2020,11/16/2020,2
20201103,High Plains,4.49,23.2,25.34,24.44,17.47,5.05,11/3/2020,11/9/2020,2
20201103,West,8.52,13.62,20.23,17.06,34.21,6.35,11/3/2020,11/9/2020,2
20201027,High Plains,1.74,26.99,23.93,24.44,18.44,4.46,10/27/2020,11/2/2020,2
20201027,West,8.02,14.29,19.81,17.22,34.56,6.1,10/27/2020,11/2/2020,2
20201020,High Plains,1.75,26.06,27.09,21.46,19.18,4.46,10/20/2020,10/26/2020,2
20201020,West,6.93,15.04,19.97,17.17,34.79,6.1,10/20/2020,10/26/2020,2
20201013,High Plains,1.75,30.85,23.95,24.04,15.99,3.42,10/13/2020,10/19/2020,2
20201013,West,6.84,13.03,22.11,20.79,32.73,4.5,10/13/2020,10/19/2020,2
20201006,High Plains,6.44,28.69,23.91,22.71,14.83,3.42,10/6/2020,10/12/2020,2
20201006,West,7.96,14.56,21.26,21.03,30.7,4.5,10/6/2020,10/12/2020,2
20200929,High Plains,6.73,31.17,25.55,20.4,15.62,0.54,9/29/2020,10/5/2020,2
20200929,West,8.51,15.42,21.52,21.44,30.8,2.31,9/29/2020,10/5/2020,2
20200922,High Plains,19.03,26.85,19.69,19.38,14.98,0.08,9/22/2020,9/28/2020,2
20200922,West,7.72,18.91,20.51,23.66,27.91,1.29,9/22/2020,9/28/2020,2
20200915,High Plains,24.52,23.06,19.46,18.82,14.05,0.08,9/15/2020,9/21/2020,2
20200915,West,8.99,19.01,19.97,25.34,25.77,0.91,9/15/2020,9/21/2020,2
20200908,High Plains,22.65,24.43,19.63,17.62,15.59,0.08,9/8/2020,9/14/2020,2
20200908,West,13.48,18.05,17.04,25.83,25.35,0.25,9/8/2020,9/14/2020,2
20200901,High Plains,23.11,26.06,20.03,21.18,9.54,0.08,9/1/2020,9/7/2020,2
20200901,West,14.82,17.58,18.11,31.46,17.99,0.03,9/1/2020,9/7/2020,2
20200825,High Plains,25.38,24.96,19.83,21.32,8.44,0.08,8/25/2020,8/31/2020,2
20200825,West,17.08,15.99,18.84,31.21,16.84,0.03,8/25/2020,8/31/2020,2
20200818,High Plains,30.6,21.96,22.65,18.17,6.63,0,8/18/2020,8/24/2020,2
20200818,West,18.84,15.6,24.63,31.82,9.1,0,8/18/2020,8/24/2020,2
20200811,High Plains,32.01,21.88,24.13,16.09,5.88,0,8/11/2020,8/17/2020,2
20200811,West,23.01,13.14,30.23,25.28,8.34,0,8/11/2020,8/17/2020,2
20200804,High Plains,33.05,23.87,22.55,14.04,6.5,0,8/4/2020,8/10/2020,2
20200804,West,23.29,14.17,29.9,25.66,6.98,0,8/4/2020,8/10/2020,2
20200728,High Plains,31.83,26.02,21.97,13.68,6.49,0,7/28/2020,8/3/2020,2
20200728,West,25.54,15.87,28.38,23.67,6.54,0,7/28/2020,8/3/2020,2
20200721,High Plains,28.81,32.51,22.09,9.45,7.14,0,7/21/2020,7/27/2020,2
20200721,West,25.97,20.14,27.87,20.41,5.62,0,7/21/2020,7/27/2020,2
20200714,High Plains,27.26,38.34,19.48,6.9,8.02,0,7/14/2020,7/20/2020,2
20200714,West,31.11,21.08,23.83,18.07,5.91,0,7/14/2020,7/20/2020,2
20200707,High Plains,32.89,31.28,21.83,6.6,7.39,0,7/7/2020,7/13/2020,2
20200707,West,34.34,21.01,21.42,18.18,5.05,0,7/7/2020,7/13/2020,2
20200630,High Plains,34.41,25.9,26.4,5.39,7.47,0.43,6/30/2020,7/6/2020,2
20200630,West,35.15,19.61,22.31,17.93,4.88,0.12,6/30/2020,7/6/2020,2
20200623,High Plains,37.79,22.11,26.61,5.92,7.57,0,6/23/2020,6/29/2020,2
20200623,West,33.43,20.54,24.7,16.48,4.86,0,6/23/2020,6/29/2020,2
20200616,High Plains,39.03,28.11,19.46,5.84,7.57,0,6/16/2020,6/22/2020,2
20200616,West,32.39,23.3,23.42,16.04,4.85,0,6/16/2020,6/22/2020,2
20200609,High Plains,46.95,27.13,13.62,6.58,5.73,0,6/9/2020,6/15/2020,2
20200609,West,33.84,24.18,23.43,14.6,3.96,0,6/9/2020,6/15/2020,2
20200602,High Plains,48.11,29.61,10.77,7.11,4.4,0,6/2/2020,6/8/2020,2
20200602,West,36.99,22.92,22.25,14.87,2.97,0,6/2/2020,6/8/2020,2
20200526,High Plains,60.3,19.18,9.69,6.84,3.98,0,5/26/2020,6/1/2020,2
20200526,West,41.59,19.05,22.78,13.62,2.96,0,5/26/2020,6/1/2020,2
20200519,High Plains,57.71,21.78,9.16,7.37,3.98,0,5/19/2020,5/25/2020,2
20200519,West,40.85,20.32,22.56,13.22,3.06,0,5/19/2020,5/25/2020,2
20200512,High Plains,59.76,22.99,5.94,7.91,3.4,0,5/12/2020,5/18/2020,2
20200512,West,42.45,21.84,20.93,12.34,2.44,0,5/12/2020,5/18/2020,2
20200505,High Plains,62.28,23.03,5.7,6.6,2.39,0,5/5/2020,5/11/2020,2
20200505,West,44.69,21.18,20.66,11.41,2.06,0,5/5/2020,5/11/2020,2
20200428,High Plains,65.54,21.77,5.54,7.15,0,0,4/28/2020,5/4/2020,2
