year,month,month_name,storage
2020,12,Dec,10364235.516129032
2021,1,Jan,9873151.741935484
2021,2,Feb,9425237.035714285
2021,3,Mar,9040206.677419355
2021,4,Apr,8671866.533333333
2021,5,May,8381604.387096774
2021,6,Jun,8415178.533333333
2021,7,Jul,8083603.451612903
2021,8,Aug,7684859.29032258
2021,9,Sep,7412647.766666667
2021,10,Oct,7219464.0
2021,11,Nov,7103713.266666667
2021,12,Dec,6858130.9677419355
2022,1,Jan,6518509.193548387
2022,2,Feb,6183819.9575000005
2022,3,Mar,5916341.026774193
2022,4,Apr,5788709.9306666665
2022,5,May,5999673.491935484
2022,6,Jun,6682654.673333333
2022,7,Jul,6337435.453548388
2022,8,Aug,6070479.103870967
2022,9,Sep,5837393.408333333
2022,10,Oct,5840728.053548387
2022,11,Nov,5782582.64
2022,12,Dec,5624612.840967742
2023,1,Jan,5502048.9616129035
